date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-10-02,predictwise_overall,S,CT,R,,0.01,,,
2016-10-02,predictwise_overall,S,FL,D,,0.16,,,
2016-10-02,predictwise_overall,S,FL,R,,0.84,,,
2016-10-02,predictwise_overall,S,GA,D,,0.03,,,
2016-10-02,predictwise_overall,S,GA,R,,0.97,,,
2016-10-02,predictwise_overall,S,HI,D,,1.0,,,
2016-10-02,predictwise_overall,S,HI,R,,0.0,,,
2016-10-02,predictwise_overall,S,IA,D,,0.06,,,
2016-10-02,predictwise_overall,S,IA,R,,0.94,,,
2016-10-02,predictwise_overall,S,ID,D,,0.01,,,
2016-10-02,predictwise_overall,S,ID,R,,0.99,,,
2016-10-02,predictwise_overall,S,IL,D,,0.84,,,
2016-10-02,predictwise_overall,S,IL,R,,0.16,,,
2016-10-02,predictwise_overall,S,IN,D,,0.69,,,
2016-10-02,predictwise_overall,S,IN,R,,0.31,,,
2016-10-02,predictwise_overall,S,KS,D,,0.01,,,
2016-10-02,predictwise_overall,S,KS,R,,0.99,,,
2016-10-02,predictwise_overall,S,KY,D,,0.05,,,
2016-10-02,predictwise_overall,S,KY,R,,0.95,,,
2016-10-02,predictwise_overall,S,LA,D,,0.08,,,
2016-10-02,predictwise_overall,S,LA,R,,0.92,,,
2016-10-02,predictwise_overall,S,MD,D,,0.99,,,
2016-10-02,predictwise_overall,S,MD,R,,0.01,,,
2016-10-02,predictwise_overall,S,MO,D,,0.25,,,
2016-10-02,predictwise_overall,S,MO,R,,0.75,,,
2016-10-02,predictwise_overall,S,NC,D,,0.42,,,
2016-10-02,predictwise_overall,S,NC,R,,0.58,,,
2016-10-02,predictwise_overall,S,ND,D,,0.01,,,
2016-10-02,predictwise_overall,S,ND,R,,0.99,,,
2016-10-02,predictwise_overall,S,NH,D,,0.53,,,
2016-10-02,predictwise_overall,S,NH,R,,0.47,,,
2016-10-02,predictwise_overall,S,NV,D,,0.49,,,
2016-10-02,predictwise_overall,S,NV,R,,0.51,,,
2016-10-02,predictwise_overall,S,NY,D,,1.0,,,
2016-10-02,predictwise_overall,S,NY,R,,0.0,,,
2016-10-02,predictwise_overall,S,OH,D,,0.09,,,
2016-10-02,predictwise_overall,S,OH,R,,0.91,,,
2016-10-02,predictwise_overall,S,OK,D,,0.01,,,
2016-10-02,predictwise_overall,S,OK,R,,0.99,,,
2016-10-02,predictwise_overall,S,OR,D,,0.99,,,
2016-10-02,predictwise_overall,S,OR,R,,0.01,,,
2016-10-02,predictwise_overall,S,PA,D,,0.64,,,
2016-10-02,predictwise_overall,S,PA,R,,0.36,,,
2016-10-02,predictwise_overall,S,SC,D,,0.03,,,
2016-10-02,predictwise_overall,S,SC,R,,0.97,,,
2016-10-02,predictwise_overall,S,SD,D,,0.0,,,
2016-10-02,predictwise_overall,S,SD,R,,1.0,,,
2016-10-02,predictwise_overall,S,UT,D,,0.01,,,
2016-10-02,predictwise_overall,S,UT,R,,0.99,,,
2016-10-02,predictwise_overall,S,VT,D,,1.0,,,
2016-10-02,predictwise_overall,S,VT,R,,0.0,,,
2016-10-02,predictwise_overall,S,WA,D,,0.99,,,
2016-10-02,predictwise_overall,S,WA,R,,0.01,,,
2016-10-02,predictwise_overall,S,WI,D,,0.87,,,
2016-10-02,predictwise_overall,S,WI,R,,0.13,,,
2016-10-03,predictwise_overall,P,AK,D,CLINTON,0.01,,,
2016-10-03,predictwise_overall,P,AK,R,TRUMP,0.99,,,
2016-10-03,predictwise_overall,P,AL,D,CLINTON,0.0,,,
2016-10-03,predictwise_overall,P,AL,R,TRUMP,1.0,,,
2016-10-03,predictwise_overall,P,AR,D,CLINTON,0.0,,,
2016-10-03,predictwise_overall,P,AR,R,TRUMP,1.0,,,
2016-10-03,predictwise_overall,P,AZ,D,CLINTON,0.13,,,
2016-10-03,predictwise_overall,P,AZ,R,TRUMP,0.87,,,
2016-10-03,predictwise_overall,P,CA,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,CA,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,CO,D,CLINTON,0.87,,,
